epoch,step,train/loss,val/auroc_bbb,val/auroc_cyp3a4,val/auroc_herg,val/cls_loss,val/mae_caco2,val/mae_clearance,val/reg_loss,val/rmse_caco2,val/rmse_clearance
38,13299,0.7492349743843079,,,,,,,,,
38,13349,0.6477510929107666,,,,,,,,,
38,13399,0.6800945997238159,,,,,,,,,
38,13449,0.6903766393661499,,,,,,,,,
38,13454,,0.8786251544952393,0.9283177852630615,0.8391550779342651,0.606496274471283,0.5176573395729065,0.9569566249847412,17.275733947753906,0.6545453667640686,1.26693856716156
39,13499,0.6157631278038025,,,,,,,,,
39,13549,0.6389825344085693,,,,,,,,,
39,13599,0.7094652056694031,,,,,,,,,
39,13649,0.5717272162437439,,,,,,,,,
39,13699,0.5522176623344421,,,,,,,,,
39,13749,0.7022507786750793,,,,,,,,,
39,13799,0.6590924263000488,,,,,,,,,
39,13799,,0.8819369077682495,0.9270489811897278,0.8440784811973572,0.6018455028533936,0.4995352327823639,0.9721571803092957,17.751150131225586,0.6337379217147827,1.266724705696106
40,13849,0.6822394728660583,,,,,,,,,
40,13899,0.6727175712585449,,,,,,,,,
40,13949,0.6538733839988708,,,,,,,,,
40,13999,0.6263991594314575,,,,,,,,,
40,14049,0.6386005878448486,,,,,,,,,
40,14099,0.7102675437927246,,,,,,,,,
40,14144,,0.8753133416175842,0.9275857210159302,0.840553879737854,0.602826714515686,0.48139795660972595,0.9774398803710938,17.863506317138672,0.6139177680015564,1.2655609846115112
41,14149,0.6645529866218567,,,,,,,,,
41,14199,0.5936993956565857,,,,,,,,,
41,14249,0.603811502456665,,,,,,,,,
41,14299,0.6349183917045593,,,,,,,,,
41,14349,0.5723667144775391,,,,,,,,,
41,14399,0.6987486481666565,,,,,,,,,
41,14449,0.7522915601730347,,,,,,,,,
41,14489,,0.8812656998634338,0.9252744913101196,0.8474575281143188,0.5998906493186951,0.48853957653045654,0.970029890537262,17.81715202331543,0.6188572645187378,1.270708680152893
42,14499,0.5870416164398193,,,,,,,,,
42,14549,0.603123664855957,,,,,,,,,
42,14599,0.5919029712677002,,,,,,,,,
42,14649,0.6872092485427856,,,,,,,,,
42,14699,0.682622492313385,,,,,,,,,
42,14749,0.6075690388679504,,,,,,,,,
42,14799,0.6796056628227234,,,,,,,,,
