epoch,step,train/loss,val/auroc_bbb,val/auroc_cyp3a4,val/auroc_herg,val/cls_loss,val/mae_caco2,val/mae_clearance,val/mse_caco2,val/mse_clearance,val/reg_loss,val/rmse_caco2,val/rmse_clearance
8,2899,0.7459959387779236,,,,,,,,,,,
8,2949,0.7520930767059326,,,,,,,,,,,
8,2999,0.7556003332138062,,,,,,,,,,,
8,3049,0.8212376832962036,,,,,,,,,,,
8,3099,0.701403021812439,,,,,,,,,,,
8,3104,,0.8992571830749512,0.9155523180961609,0.8140873312950134,0.608914315700531,0.42123010754585266,0.9411518573760986,0.25650933384895325,1.5597413778305054,0.9976530075073242,0.5064675211906433,1.2488960027694702
9,3149,0.6962730884552002,,,,,,,,,,,
9,3199,0.7393185496330261,,,,,,,,,,,
9,3249,0.781618595123291,,,,,,,,,,,
9,3299,0.8482570648193359,,,,,,,,,,,
9,3349,0.7642660140991211,,,,,,,,,,,
9,3399,0.7313261032104492,,,,,,,,,,,
9,3449,0.6269000768661499,,,,,,,,,,,
9,3449,,0.9077156782150269,0.9196364879608154,0.8114548921585083,0.6082976460456848,0.41962218284606934,0.8859078884124756,0.255502313375473,1.4668790102005005,0.9512873888015747,0.5054723620414734,1.2111477851867676
10,3499,0.8133848309516907,,,,,,,,,,,
10,3549,0.8193014860153198,,,,,,,,,,,
10,3599,0.8410760760307312,,,,,,,,,,,
10,3649,0.6699530482292175,,,,,,,,,,,
10,3699,0.7585756778717041,,,,,,,,,,,
10,3749,0.7044423222541809,,,,,,,,,,,
10,3794,,0.900062620639801,0.9146864414215088,0.8086845874786377,0.6117482781410217,0.4193369150161743,0.903934121131897,0.2540067136287689,1.528205394744873,0.9854052662849426,0.5039907693862915,1.2362060546875
11,3799,0.7677149176597595,,,,,,,,,,,
11,3849,0.700844943523407,,,,,,,,,,,
11,3899,0.6663869619369507,,,,,,,,,,,
11,3949,0.738608717918396,,,,,,,,,,,
11,3999,0.7829515933990479,,,,,,,,,,,
11,4049,0.6706881523132324,,,,,,,,,,,
11,4099,0.7531462907791138,,,,,,,,,,,
11,4139,,0.8978248834609985,0.9174990653991699,0.8242679834365845,0.6044149398803711,0.42535388469696045,0.8821689486503601,0.2756783366203308,1.4089356660842896,0.9295825362205505,0.5250507593154907,1.186985969543457
12,4149,0.8498196601867676,,,,,,,,,,,
12,4199,0.7060865163803101,,,,,,,,,,,
12,4249,0.7095407843589783,,,,,,,,,,,
12,4299,0.7141199111938477,,,,,,,,,,,
12,4349,0.6648250818252563,,,,,,,,,,,
12,4399,0.8859614729881287,,,,,,,,,,,
12,4449,0.7104911804199219,,,,,,,,,,,
12,4484,,0.9128177165985107,0.9215404987335205,0.8238464593887329,0.607701301574707,0.41539591550827026,0.8990960717201233,0.2529527544975281,1.4698172807693481,0.945381224155426,0.5029440522193909,1.2123602628707886
13,4499,0.757591724395752,,,,,,,,,,,
13,4549,0.764691174030304,,,,,,,,,,,
13,4599,0.7329503297805786,,,,,,,,,,,
13,4649,0.733003556728363,,,,,,,,,,,
13,4699,0.6666495203971863,,,,,,,,,,,
13,4749,0.7566087245941162,,,,,,,,,,,
13,4799,0.6691889762878418,,,,,,,,,,,
13,4829,,0.9038220643997192,0.9207331538200378,0.8211426734924316,0.6069457530975342,0.43326860666275024,0.9671825170516968,0.2745877206325531,1.5687839984893799,1.0044300556182861,0.5240111947059631,1.2525110244750977
14,4849,0.7007557153701782,,,,,,,,,,,
14,4899,0.7062342166900635,,,,,,,,,,,
14,4949,0.7604987025260925,,,,,,,,,,,
14,4999,0.672822117805481,,,,,,,,,,,
14,5049,0.7689135670661926,,,,,,,,,,,
14,5099,0.7321690917015076,,,,,,,,,,,
14,5149,0.7262828946113586,,,,,,,,,,,
14,5174,,0.9020318984985352,0.9237408638000488,0.8253709077835083,0.6048986315727234,0.43875065445899963,0.924824595451355,0.27706030011177063,1.490624189376831,0.9666486382484436,0.5263651609420776,1.2209111452102661
15,5199,0.7227839827537537,,,,,,,,,,,
15,5249,0.7712165713310242,,,,,,,,,,,
15,5299,0.6668355464935303,,,,,,,,,,,
15,5349,0.7120031118392944,,,,,,,,,,,
15,5399,0.6883059740066528,,,,,,,,,,,
15,5449,0.7297919988632202,,,,,,,,,,,
15,5499,0.6889972686767578,,,,,,,,,,,
15,5519,,0.8987200260162354,0.9246008992195129,0.8369553089141846,0.6018732190132141,0.44297611713409424,0.9159243702888489,0.2791617214679718,1.467941164970398,0.9535566568374634,0.5283575654029846,1.2115862369537354
16,5549,0.6430824995040894,,,,,,,,,,,
16,5599,0.7144176363945007,,,,,,,,,,,
16,5649,0.7360259294509888,,,,,,,,,,,
16,5699,0.7250940203666687,,,,,,,,,,,
16,5749,0.7636653780937195,,,,,,,,,,,
16,5799,0.7079281210899353,,,,,,,,,,,
16,5849,0.7767939567565918,,,,,,,,,,,
16,5864,,0.9063730239868164,0.926338255405426,0.8333123326301575,0.6033217310905457,0.4300118386745453,0.9122524261474609,0.2807450592517853,1.4135252237319946,0.9194889664649963,0.5298538208007812,1.188917636871338
17,5899,0.6678012013435364,,,,,,,,,,,
17,5949,0.7225118279457092,,,,,,,,,,,
17,5999,0.6804267764091492,,,,,,,,,,,
17,6049,0.6374180316925049,,,,,,,,,,,
17,6099,0.6816632747650146,,,,,,,,,,,
17,6149,0.7471975684165955,,,,,,,,,,,
